Model_or_Method,Type,Parameters,Open_Status,License,Language_Coverage,Context_or_Mode,Factuality_Support,Bangla_Suitability,Compute_Fit,Source_URL,Review_Use
mT5-small/base/large/XL/XXL,Encoder-decoder multilingual,300M / 580M / 1.2B / 3.7B / 13B,Open weights,Apache-2.0,101 languages,seq2seq,None; can be fine-tuned,High for Bangla transfer; needs domain adaptation,Base/large fit 16-24GB with PEFT,https://github.com/google-research/multilingual-t5,Good default for multilingual clinical simplification.
T5-base/large,Encoder-decoder,220M / 770M,Open weights,Apache-2.0,English primarily,seq2seq,None; controllable by fine-tuning,Medium via translate-then-simplify,Base fits 12-16GB,https://jmlr.org/papers/v21/20-074.html,Strong English baseline.
BART-large,Encoder-decoder denoising,406M,Open weights,Research/model license verify,English primarily,1024 tokens,None; summarization baseline,Low direct Bangla; useful English pivot,Fits 16GB,https://aclanthology.org/2020.acl-main.703/,Good English simplification/summarization baseline.
mBART-50,Encoder-decoder multilingual,≈610M,Open weights,MIT / fairseq model terms verify,50 languages,seq2seq,None,Medium; Bengali coverage should be checked,Fits 16-24GB,https://aclanthology.org/2020.tacl-1.47/,Useful for MT pipeline.
BanglaT5,Bangla encoder-decoder,checkpoint-dependent; verify,Open weights,MIT/Apache depending checkpoint,Bangla,seq2seq,None; fine-tune required,High direct Bangla suitability,Usually feasible on 16GB,https://aclanthology.org/2024.lrec-main/,Use as Bangla-specific backbone; verify exact model card.
BanglaBERT / BanglaBERT-base,Encoder LM,≈110M,Open weights,Model card license verify,Bangla,512 tokens,NER/NLI classifier backbone,High for Bangla NER/NLI gate,Very feasible,https://aclanthology.org/2022.findings-emnlp.22/,Not generative; use for entity/NLI checks.
BioBERT,Biomedical encoder LM,≈110M,Open weights,Verify,English biomedical,512 tokens,Classifier/NER/NLI,English pivot only,Very feasible,https://academic.oup.com/bioinformatics/article/36/4/1234/5566506,Biomedical entity and NLI backbone.
BioGPT,Generative biomedical LM,≈347M / larger variants,Open weights,MIT? verify,English biomedical,causal LM,Biomedical generation; no built-in fact gate,English pivot only,Feasible,https://academic.oup.com/bib/article/23/6/bbac409/6713511,Biomedical generation baseline.
Llama 3.1 8B,Decoder-only LLM,8B,Open weights with custom license,Llama 3.1 Community License,Multilingual but English-dominant,long-context depending variant,Prompt/RAG; no built-in factuality,Medium; Bangla quality must be tested,Requires 16GB+ quantized,https://huggingface.co/meta-llama/Llama-3.1-8B,Strong open LLM baseline; license not OSI-open.
Qwen2.5-7B-Instruct,Decoder-only LLM,7B,Open weights,Apache-2.0 for 7B per Qwen release,Multilingual,long-context depending config,Prompt/RAG; no built-in factuality,High-mid; evaluate Bangla fluency,16GB+ quantized,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,Good open instruction baseline.
Gemma 2 9B IT,Decoder-only LLM,9B,Open weights,Gemma terms,English-centered; some multilingual,long-context depending config,Prompt/RAG; no built-in factuality,Medium; Bangla verify,16GB+ quantized,https://huggingface.co/google/gemma-2-9b-it,Good comparative open model.
Mistral 7B Instruct,Decoder-only LLM,7.3B,Open weights,Apache-2.0,English/multilingual limited,32k depending variant,Prompt/RAG,Medium; Bangla verify,16GB+ quantized,https://mistral.ai/news/announcing-mistral-7b/,Efficient general LLM baseline.
GPT-4 / GPT-4o,Closed API LLM,Not disclosed,Closed/API,Commercial API,Strong multilingual,large context depending model,Prompt/RAG; no inspectable weights,High capability but irreproducible locally,API only,https://platform.openai.com/docs/models,"Use as upper-bound black-box baseline, not reproducible corpus method."
Med-PaLM / Med-PaLM 2,Medical-domain LLM,Not disclosed,Closed / limited,Commercial/research access,English medical,API/closed,Medical QA; not simplification-specific,Low direct Bangla,Not local,https://www.nature.com/articles/s41586-023-06291-2,Background only unless accessible.
Meditron-7B,Medical LLM,7B,Open weights,License verify,English medical,decoder LLM,Medical prompting/RAG,Low direct Bangla,16GB+ quantized,https://github.com/epfLLM/meditron,Medical open baseline; verify terms.
NLI gate with MedNLI/clinical NLI,Classifier/gating layer,backbone-dependent,Open if backbone open,varies,English clinical; multilingual transfer possible,sentence pair,Contradiction/entailment filter,High importance; Bangla dataset absent,feasible,https://aclanthology.org/W18-5618/,"Use as factuality checker, not generator."
NER-guided preservation,Pipeline constraint/evaluator,model-dependent,Open if NER model open,varies,English/Bangla possible,entity level,Entity retention only,High for Bangla with HealthNER/MedER,feasible,https://aclanthology.org/2023.findings-emnlp.383/,Useful but insufficient for relation-level factuality.
GraphRAG / medical KG-RAG,Retrieval method,no fixed params,Open method; implementations vary,varies,language/domain dependent,retrieval context,Grounded retrieval and citations,High future direction; needs Bangla KB,compute depends on retriever/LLM,https://www.microsoft.com/en-us/research/project/graphrag/,Good for future architecture and gap discussion.
Edit-constrained decoding,Decoding algorithm,no model params,Open paper/code verify,varies,model dependent,decoding-time constraint,Lexical/edit preservation,Medium; useful but not relation-level,adds decoding cost,https://aclanthology.org/2024.findings-emnlp.419/,Important comparator for constraint gap.
Clinical Fact Graph Preservation (future),Proposed hybrid method,model-dependent,To be implemented,planned open code,Bangla + English pivot,graph + NLI + RAG,"Entity, relation, attribute preservation",High target contribution,depends on LLM/retriever,planned,Not existing evidence; future contribution.
