CiteKey,Study_Type,Tool,Leakage,Baseline_Strength,Metric_Validity,Human_Eval_Rigor,Statistical_Testing,Reproducibility,Clinical_Expert_Involvement,Overall,Notes
horiguchi2025_multimsd_multilingual_medical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
pavithra2025_bridging_health_literacy,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
bakker2024_cochrane_auto_aligned,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
rahman2024_health_text_simplification,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
yao2024_readme_bridging_medical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
basu2023_med_easi_finely,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
flores2023_medical_text_simplification,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
joseph2023_multilingual_simplification_medical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
devaraj2022_evaluating_factuality_text,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
moramarco2022_more_patient_friendly,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
phatak2022_medical_text_simplification,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
trienes2022_patient_friendly_clinical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
devaraj2021_paragraph_level_simplification,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
cardon2020_french_biomedical_text,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
huang2025_hallucination_language_principles,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
chen2024_hallucination_detection_robustly,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
liu2024_lost_middle_how,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
ji2023_hallucination_natural_language,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
li2023_halueval_hallucination_evaluation,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
manakul2023_selfcheckgpt_zero_resource,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
min2023_factscore_fine_grained,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
rashkin2023_measuring_attribution_natural,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
zha2023_alignscore_evaluating_factual,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
dziri2022_evaluating_attribution_dialogue,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
laban2022_summac_re_visiting,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
fabbri2021_summeval_re_evaluating,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
gabriel2021_go_figure_meta,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
goyal2021_annotating_modeling_fine,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
pagnoni2021_understanding_factuality_abstractive,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
scialom2021_questeval_summarization_asks,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
durmus2020_feqa_question_answering,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
koto2020_ffci_framework_interpretable,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
kryscinski2020_evaluating_factual_consistency,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
maynez2020_faithfulness_factuality_abstractive,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
wang2020_asking_answering_questions,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
oul2025_turkmednli_turkish_medical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
aggarwal2022_indicxnli_evaluating_multilingual,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
saakyan2021_covid_fact_fact,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
schuster2021_get_your_vitamin,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
kotonya2020_explainable_fact_checking,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
wadden2020_fact_or_fiction,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
aziz2025_banglahealth_bengali_paraphrase,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
mahtab2025_benchmark_context_driven,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
das2024_banglat5_banglabert0_pretrained,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
khan2023_banglachq_summ_abstractive,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
khan2023_nervous_about_my,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
bhattacharjee2022_banglabert_language_pretraining,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
ramesh2022_samanantar_largest_publicly,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
dabre2020_multilingual_neural_machine,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
hasan2020_not_low_resource,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
kakwani2020_indicnlpsuite_monolingual_corpora,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
martin2022_muss_multilingual_simplification,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
althanyyan2021_text_simplification,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
alvamanchego2020_easse_easier_sentence,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
martin2020_muss_multilingual_unsupervised,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
singhal2025_expert_level_medical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
asai2024_self_rag_learning,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
singhal2023_language_encode_clinical,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
luo2022_biogpt_generative_pre,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
izacard2021_leveraging_passage_retrieval,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
guu2020_realm_retrieval_augmented,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
karpukhin2020_dense_passage_retrieval,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
lee2020_biobert_pre_trained,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
lewis2020_retrieval_augmented_generation,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
zetsu2024_edit_constrained_decoding,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
krause2021_gedi_generative_discriminator,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
lu2021_neurologic_decoding_un,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
pascual2021_plug_play_controlled,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
dathathri2020_plug_play_language,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
kumar2020_controlled_text_generation,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
shin2020_autoprompt_eliciting_knowledge,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
welleck2020_neural_text_generation,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
rei2020_comet_neural_framework,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
sellam2020_bleurt_learning_robust,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
zhang2020_bertscore_evaluating_text,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
johnson2023_mimic_iv_freely,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
luo2022_natural_language_processing,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
bustos2020_padchest_chest_x,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
henry2020_2018_n2c2_shared,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
zhang2020_pegasus_pre_training,,Custom NLP-Bias,,,,,,,,,Score each 0-2; justify in Notes.
